Scenario,Confidence Level,VaR,CVaR,Expected Loss (%),Tail Size
Baseline,0.99,256766.6897639962,-370445.444560869,-610.0980010332261,1.0
Baseline,0.995,298423.3481225581,-410406.03905619046,-686.6975076214751,0.5
Baseline,0.999,385064.5299579339,-443973.10342107055,-751.041409418703,0.1
High_Volatility,0.99,543541.5703380771,-630805.47819979,-1299.7626034558684,1.0
High_Volatility,0.995,584930.1815715147,-655202.9037599219,-1353.9006937228253,0.5
High_Volatility,0.999,622186.0234591948,-670803.4121715617,-1388.518351660469,0.1
Low_Volatility,0.99,139230.657852508,-214904.25779679295,-275.13918409434746,1.0
Low_Volatility,0.995,157203.69657168695,-223735.26464700527,-290.55468464554076,0.5
Low_Volatility,0.999,172640.59689974948,-233575.33807873348,-307.7316226757656,0.1
Fast_Mean_Reversion,0.99,203642.06960265047,-320044.12612422585,-322.8025537321378,1.0
Fast_Mean_Reversion,0.995,242577.72801134532,-342161.80052601954,-352.02167839766764,0.5
Fast_Mean_Reversion,0.999,285397.04570253845,-363069.8176478096,-379.6427540900141,0.1
Slow_Mean_Reversion,0.99,305290.89057146275,-393124.18258346495,-911.7589652566108,1.0
Slow_Mean_Reversion,0.995,326558.22805110354,-431656.8830475526,-1010.9281511710672,0.5
Slow_Mean_Reversion,0.999,422077.44471361465,-486661.0775398064,-1152.4889845406622,0.1
High_Long_Term_Mean,0.99,250669.29061265054,-298944.558852543,-13076.446737232396,1.0
High_Long_Term_Mean,0.995,282227.61390748236,-326754.1547387227,-14302.197961421592,0.5
High_Long_Term_Mean,0.999,336702.61878002767,-408879.5777421864,-17922.00380813575,0.1
Low_Long_Term_Mean,0.99,261737.5847800367,-388254.7572430048,-364.5427512003503,1.0
Low_Long_Term_Mean,0.995,289097.0347698221,-416148.74332010903,-397.91761343311885,0.5
Low_Long_Term_Mean,0.999,344086.25779839535,-442215.39897403034,-429.1060939505277,0.1
Rate_Shock_Up,0.99,269881.4429813932,-320439.0334392659,-2101.7250514375523,1.0
Rate_Shock_Up,0.995,280694.8093108938,-350133.0707331477,-2305.751711631095,0.5
Rate_Shock_Up,0.999,358551.88700383395,-377996.9076198912,-2497.203130780194,0.1
Rate_Shock_Down,0.99,279670.1935898304,-411811.9330841162,-322.25367934672374,1.0
Rate_Shock_Down,0.995,299961.67365902965,-433444.26209095307,-344.4345094347872,0.5
Rate_Shock_Down,0.999,350295.6046451889,-495110.7501972987,-407.66458948683055,0.1
Stagflation,0.99,407086.36655618786,-440743.9876142703,2914.0003041968052,1.0
Stagflation,0.995,434769.6702500357,-473771.07161912863,3124.866991090201,0.5
Stagflation,0.999,504409.6195628076,-497831.1835011887,3278.482613895657,0.1
Extreme_Volatility,0.99,793209.9311751081,-989227.3601204278,-2110.335176645699,1.0
Extreme_Volatility,0.995,910448.287096552,-1074099.9452090624,-2299.974958072111,0.5
Extreme_Volatility,0.999,1044644.0988137687,-1341731.661357426,-2897.972769734709,0.1
